"name","group","tvg-id","tvg-name","url","logo"
"山东卫视","卫视","30","山东卫视","http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-shandongstv/HD-2500k-1080P-shandongstv","http://epg.51zmt.top:8000/tb1/ws/shandong.png"
"天津卫视","卫视","31","天津卫视","http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-tianjinstv/HD-2500k-1080P-tianjinstv","http://epg.51zmt.top:8000/tb1/ws/tianjin.png"
"重庆卫视","卫视","32","重庆卫视","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-chongqingstv/HD-8000k-1080P-chongqingstv","http://epg.51zmt.top:8000/tb1/ws/chongqing.png"
"东南卫视","卫视","33","东南卫视","http://183.207.248.71:80/cntv/live1/n-dongnanstv/n-dongnanstv","http://epg.51zmt.top:8000/tb1/ws/dongnan.png"
"甘肃卫视","卫视","34","甘肃卫视","http://183.207.248.71:80/cntv/live1/n-gansustv/n-gansustv","http://epg.51zmt.top:8000/tb1/ws/gansu.png"
"广西卫视","卫视","35","广西卫视","http://183.207.248.71:80/cntv/live1/n-guangxistv/n-guangxistv","http://epg.51zmt.top:8000/tb1/ws/guangxi.png"
"贵州卫视","卫视","36","贵州卫视","http://183.207.248.71:80/cntv/live1/n-guizhoustv/n-guizhoustv","http://epg.51zmt.top:8000/tb1/ws/guizhou.png"
"河北卫视","卫视","37","河北卫视","http://183.207.248.71:80/cntv/live1/n-hebeistv/n-hebeistv","http://epg.51zmt.top:8000/tb1/ws/hebei.png"
"黑龙江卫视","卫视","38","黑龙江卫视","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-heilongjiangstv/HD-8000k-1080P-heilongjiangstv","http://epg.51zmt.top:8000/tb1/ws/heilongjiang.png"
"河南卫视","卫视","39","河南卫视","http://183.207.248.71:80/cntv/live1/henanstv/henanstv","http://epg.51zmt.top:8000/tb1/ws/henan.png"
"湖北卫视","卫视","40","湖北卫视","http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-hubeistv/HD-2500k-1080P-hubeistv","http://epg.51zmt.top:8000/tb1/ws/hubei.png"
"江西卫视","卫视","41","江西卫视","http://183.207.248.71:80/cntv/live1/jiangxistv/jiangxistv","http://epg.51zmt.top:8000/tb1/ws/jiangxi.png"
"内蒙古卫视","卫视","43","内蒙古卫视","http://183.207.248.71:80/cntv/live1/n-neimenggustv/n-neimenggustv","http://epg.51zmt.top:8000/tb1/ws/neimeng.png"
"宁夏卫视","卫视","44","宁夏卫视","http://183.207.248.71:80/cntv/live1/n-ningxiastv/n-ningxiastv","http://epg.51zmt.top:8000/tb1/ws/ningxia.png"
"山西卫视","卫视","45","山西卫视","http://183.207.248.71:80/cntv/live1/n-shanxistv/n-shanxistv","http://epg.51zmt.top:8000/tb1/ws/shanxi_.png"
"陕西卫视","卫视","46","陕西卫视","http://183.207.248.71:80/cntv/live1/n-shanxi1stv/n-shanxi1stv","http://epg.51zmt.top:8000/tb1/ws/shanxi.png"
"四川卫视","卫视","47","四川卫视","http://183.207.248.71:80/cntv/live1/n-sichuanstv/n-sichuanstv","http://epg.51zmt.top:8000/tb1/ws/sichuan.png"
"新疆卫视","卫视","48","新疆卫视","http://183.207.248.71:80/cntv/live1/n-xjtv1/n-xjtv1","http://epg.51zmt.top:8000/tb1/ws/xinjiang.png"
"云南卫视","卫视","49","云南卫视","http://183.207.248.71:80/cntv/live1/n-yntv1/n-yntv1","http://epg.51zmt.top:8000/tb1/ws/yunnan.png"
"青海卫视","卫视","50","青海卫视","http://183.207.248.71:80/cntv/live1/n-qinghaistv/n-qinghaistv","http://epg.51zmt.top:8000/tb1/ws/qinghai.png"
"南方卫视","卫视","51","南方卫视","http://183.207.248.71:80/cntv/live1/SD-4000k-576P-nanfangstv/SD-4000k-576P-nanfangstv","http://epg.51zmt.top:8000/tb1/ws/nanfang.png"
"兵团卫视","卫视","52","兵团卫视","http://183.207.248.71:80/cntv/live1/SD-4000k-576P-bingtuanstv/SD-4000k-576P-bingtuanstv","http://epg.51zmt.top:8000/tb1/ws/bingtuan.png"
"延边卫视","卫视","53","延边卫视","http://183.207.248.71:80/cntv/live1/SD-4000k-576P-yanbianstv/SD-4000k-576P-yanbianstv","http://epg.51zmt.top:8000/tb1/ws/YANBIAN1.png"
"厦门卫视","卫视","55","厦门卫视","http://183.207.248.71:80/cntv/live1/SD-4000k-576P-xiamenstv/SD-4000k-576P-xiamenstv","http://epg.51zmt.top:8000/tb1/ws/xiamen.png"
"康巴卫视","卫视","57","康巴卫视","http://183.207.248.71:80/cntv/live1/SD-4000k-576P-kambatv/SD-4000k-576P-kambatv","http://epg.51zmt.top:8000/tb1/ws/kangba.png"
"西藏卫视","卫视","58","西藏卫视","http://183.207.248.71:80/cntv/live1/n-xizangstv/n-xizangstv","http://epg.51zmt.top:8000/tb1/ws/xizang.png"
"农林卫视","卫视","","","http://183.207.248.71:80/cntv/live1/SD-4000k-576P-nonglinstv/SD-4000k-576P-nonglinstv",""
"安多卫视","卫视","","","http://183.207.248.71:80/cntv/live1/anduostv/anduostv",""
